,budget,popularity,revenue,runtime,vote_count,release_date,Action,Adventure,Fantasy,ScienceFiction,Crime,Drama,Thriller,Animation,Family,Western,Comedy,Horror,Romance,Mystery,War,Music,History,Rating
486,0.05263158894736842,0.018508504621043864,0.017855229289552032,0.936936946936937,0.0382263096941896,0.22668044858255204,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,6.4
113,0.18421053631578946,0.05192215336927969,0.15883418624734408,1.036036046036036,0.21028106431775156,0.30224059477673604,1.00000001,1e-08,1e-08,1e-08,1e-08,1.00000001,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,8.1
3,0.6578947468421054,0.12850014691981543,0.38915090147240816,1.4864864964864863,0.6630260766957915,0.1585094649499444,1.00000001,1e-08,1e-08,1e-08,1.00000001,1.00000001,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,8.5
354,0.05263158894736842,0.03625787639075358,0.042238750559953075,0.945945955945946,0.07324888141400902,0.3112188245558557,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,6.9
556,0.031578957368421055,0.0739227417061937,0.030671950763797664,0.981981991981982,0.14103685287170525,0.07373272889400921,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1.00000001,1e-08,1e-08,1e-08,6.3
424,0.07368422052631578,0.025337761409961065,0.036103098044158136,0.7297297397297298,0.035896325712829476,0.09383442919593198,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,6.2
539,0.031578957368421055,0.025981557530928144,0.002444369519341427,0.8738738838738739,0.02810544177515655,0.228587329243604,1.00000001,1.00000001,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,6.4
298,0.13157895736842104,0.048593689084226385,0.03002886093158988,1.2702702802702701,0.10317461317460316,0.09383442919593198,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,7.4
173,0.2631579047368421,0.043131794127893266,0.0601892379004712,0.8828828928828829,0.08482598932139215,0.20777054869378675,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,6.8
259,0.15789474684210525,0.023456397656746827,0.05861042795750436,0.8198198298198198,0.06917140944662879,0.2773716928221834,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,5.0
