,budget,popularity,revenue,runtime,vote_count,release_date,Action,Adventure,Fantasy,ScienceFiction,Crime,Drama,Thriller,Animation,Family,Western,Comedy,Romance,Horror,Mystery,History,War,Music,Documentary,Foreign,TVMovie,vote_average
3365,0.018421062631578947,0.009227075440827336,0.005243521501691915,0.3431952762721893,0.010107630709714951,0.03296344757668294,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,7.0
3144,3.631578947368421e-08,0.01108151658835732,1e-08,0.30177515792899406,0.006253645834787667,0.03658969836055294,1.00000001,1e-08,1e-08,1e-08,1.00000001,1.00000001,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,6.1
1070,0.11842106263157894,0.01377986108989964,0.05323312460822465,0.2781065188757396,0.0939499809133217,0.10240751333996782,1.00000001,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,6.1
3884,0.006578957368421052,0.054606550508536786,0.04479291740845637,0.3254437969822485,0.07177138870855147,0.5306868164454563,1.00000001,1.00000001,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,7.2
4220,0.04473685210526316,0.007454015656276546,1e-08,0.26627219934911245,0.0071989628795811516,0.014614073309430979,1.00000001,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,4.5
2930,0.028947378421052633,0.008732470316749225,0.013667826421978028,0.33727811650887574,0.011489247929028504,0.09251030255391662,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,7.4
1163,0.11842106263157894,0.03717449261415312,0.06394005746731607,0.2455621401775148,0.05453753181500873,0.11672166117103361,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,5.3
3931,1e-08,0.015826288977027723,1e-08,0.2781065188757396,0.017015716806282725,0.39138970926657035,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,7.6
3489,1e-08,0.001564283919713258,1e-08,0.24852072005917158,0.0013816272193135544,0.16879789423262534,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,5.7
3569,0.013157904736842104,0.022824249035117358,0.030976858455778387,0.24852072005917158,0.03264980639325189,0.039834238535594514,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,5.2
4682,0.03421053631578948,0.004579115306502632,1e-08,0.28106509875739644,0.0017452106980802792,0.07966846707118902,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,4.6
1226,0.10526316789473683,0.027768629385951826,0.019981397593323187,0.3609467555621302,0.031413622565445026,0.17149713353791204,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,7.0
4763,1e-08,8.393002193040199e-06,1e-08,0.26627219934911245,7.272669575334496e-05,0.18218503058510782,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,7.0
21,0.5263157994736842,0.04302091597971367,0.11143237385872287,0.41420119343195266,0.10165795066317626,0.0760967463742945,1.00000001,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,6.2
